,trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,no_of_misclass
20831,2019-06-03 14:37:47,639023984367,fraud_Christiansen-Gusikowski,misc_pos,5.54,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,44.559059000000005,-74.908759,0,14,1
20928,2019-06-03 21:50:41,3598215285024754,"fraud_Lowe, Dietrich and Erdman",kids_pets,11.34,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.405278,-73.593423,0,21,1
21287,2019-06-06 08:47:59,580954173374,fraud_Lind-Buckridge,entertainment,80.48,F,Montrose,NY,10548,41.2496,-73.9446,3487,Race relations officer,1960-01-13 00:00:00,40.774549,-74.616845,0,8,1
21648,2019-06-08 09:34:22,3559679414981506,"fraud_Tillman, Fritsch and Schmitt",misc_net,77.05,F,Lowville,NY,13367,43.7893,-75.4156,8830,Theme park manager,1991-03-29 00:00:00,44.192075,-75.697796,0,9,1
22181,2019-06-10 17:32:55,3533012926413100,"fraud_Hyatt, Russel and Gleichner",health_fitness,21.29,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01 00:00:00,44.036871000000005,-76.122961,0,17,1
22188,2019-06-10 18:12:18,30029052116970,"fraud_Medhurst, Cartwright and Ebert",personal_care,115.64,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09 00:00:00,42.879662,-79.512322,0,18,1
22242,2019-06-10 22:28:01,3523898249167098,"fraud_Reinger, Weissnat and Strosin",food_dining,19.61,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,41.68078,-73.177134,0,22,1
22339,2019-06-11 15:50:31,3598215285024754,"fraud_Schmeler, Bashirian and Price",shopping_net,20.0,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,41.316424,-74.10736800000001,0,15,1
22985,2019-06-15 19:40:55,213124978348176,"fraud_Hauck, Dietrich and Funk",kids_pets,53.12,M,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04 00:00:00,41.821402,-77.689104,0,19,1
23033,2019-06-16 01:14:21,3567697931646329,fraud_Bins-Rice,gas_transport,46.99,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,43.203687,-74.71749,0,1,1
23063,2019-06-16 03:53:47,30011465039817,fraud_Sporer Inc,gas_transport,56.54,F,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14 00:00:00,41.602708,-72.75223100000001,0,3,1
23262,2019-06-16 22:06:17,4736845434667908128,fraud_Frami Group,entertainment,144.85,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,44.571822,-73.905353,0,22,1
23648,2019-06-18 18:55:43,2296006538441789,fraud_Yost-Rogahn,personal_care,160.61,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,40.087323,-73.45173199999999,0,18,1
24094,2019-06-22 01:03:32,375237305371366,fraud_Huels-Nolan,gas_transport,62.73,M,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,1928-06-26 00:00:00,42.394641,-77.878012,0,1,1
24462,2019-06-23 19:14:04,4789911625179723,"fraud_Cole, Hills and Jewess",home,154.35,F,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27 00:00:00,40.919358,-72.02694699999999,0,19,1
24830,2019-06-25 12:33:29,3523898249167098,fraud_Champlin and Sons,home,32.48,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,41.408863,-74.565522,0,12,1
25098,2019-06-27 13:54:04,4988304376504,fraud_Champlin and Sons,home,166.69,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17 00:00:00,41.815513,-73.28195,0,13,1
25358,2019-06-29 05:08:39,180017442990269,fraud_Howe PLC,entertainment,2.71,F,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01 00:00:00,41.931359,-74.038935,0,5,1
25599,2019-06-30 06:24:29,180058696935600,fraud_Mraz-Herzog,gas_transport,48.45,M,De Lancey,NY,13752,42.18899999999999,-74.9229,782,Chartered accountant,2000-08-28 00:00:00,43.187393,-75.406318,0,6,1
25845,2019-07-01 05:30:50,502012776709,"fraud_Casper, Hand and Zulauf",grocery_pos,117.41,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.22771,-75.055424,0,5,1
25884,2019-07-01 10:25:56,30011465039817,fraud_Halvorson Group,misc_pos,105.57,F,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14 00:00:00,42.800433,-73.788527,0,10,1
26333,2019-07-04 05:07:43,3551217896304745,fraud_Bruen-Yost,misc_pos,45.89,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,44.908702000000005,-73.938461,0,5,1
26944,2019-07-07 09:20:21,3529597930342630,fraud_Trantow PLC,grocery_net,48.42,F,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1985-09-01 00:00:00,42.574587,-74.74074300000001,0,9,1
27021,2019-07-07 15:50:00,36721445180895,fraud_Lind-Buckridge,entertainment,50.9,M,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01 00:00:00,42.631817,-74.928475,0,15,1
27128,2019-07-08 00:41:56,213161293389774,fraud_McCullough LLC,misc_pos,18.45,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,43.16949,-77.069064,0,0,1
27409,2019-07-09 10:23:38,3533012926413100,fraud_Goodwin-Nitzsche,grocery_pos,75.17,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01 00:00:00,43.856472,-75.887052,0,10,1
27425,2019-07-09 13:50:37,3598215285024754,fraud_Lynch Ltd,shopping_pos,11.53,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.611369,-74.157389,0,13,1
27456,2019-07-09 21:13:22,4859525594182537,fraud_Denesik and Sons,shopping_pos,6.11,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25 00:00:00,41.950406,-74.14405500000001,0,21,1
27510,2019-07-10 05:56:04,3514897282719543,"fraud_Feil, Hilpert and Koss",food_dining,58.78,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,43.391465,-76.697505,0,5,1
27655,2019-07-11 08:28:10,502012776709,"fraud_Casper, Hand and Zulauf",grocery_pos,136.88,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.356177,-74.49035699999999,0,8,1
28148,2019-07-14 01:21:26,3598215285024754,fraud_Padberg-Welch,grocery_pos,249.76,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.173738,-73.396293,0,1,1
28323,2019-07-14 19:29:08,30235268718158,fraud_Deckow-Dare,food_dining,5.62,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,40.689046000000005,-74.04032,0,19,1
28488,2019-07-15 10:43:51,30407675418785,"fraud_Streich, Hansen and Veum",gas_transport,52.99,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,42.491782,-76.337576,0,10,1
28587,2019-07-15 18:28:36,502012776709,fraud_Goldner-Lemke,entertainment,8.35,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.308169,-75.902139,0,18,1
28622,2019-07-15 22:11:05,3551217896304745,"fraud_Bahringer, Bergnaum and Quitzon",home,13.59,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,44.356147,-74.36375699999999,0,22,1
29120,2019-07-19 14:45:04,374821819075109,fraud_Lubowitz-Walter,kids_pets,43.68,M,Palmyra,NY,14522,43.0622,-77.2218,9565,Exhibition designer,1927-12-11 00:00:00,43.727298,-77.88074399999999,0,14,1
29301,2019-07-20 14:25:59,213113028819344,fraud_Cormier LLC,health_fitness,12.0,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,42.744677,-76.481716,0,14,1
29325,2019-07-20 16:30:23,4988304376504,"fraud_Streich, Rolfson and Wilderman",kids_pets,188.76,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17 00:00:00,41.818078,-75.091711,0,16,1
29496,2019-07-21 11:13:44,3598215285024754,fraud_Dickinson Ltd,misc_pos,557.65,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.779115,-73.83570999999999,0,11,1
29960,2019-07-23 17:53:08,3567879740649740,fraud_Hamill-D'Amore,health_fitness,82.6,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.182516,-75.650657,0,17,1
29987,2019-07-23 20:45:44,2296006538441789,fraud_Boyer PLC,shopping_net,8.06,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,41.614256,-74.709239,0,20,1
30004,2019-07-24 00:57:52,4169388510116,fraud_Dach-Nader,misc_net,1.1,F,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,1962-09-27 00:00:00,43.704842,-76.582043,0,0,1
30019,2019-07-24 03:21:16,580954173374,fraud_Jast-McDermott,shopping_pos,4.57,F,Montrose,NY,10548,41.2496,-73.9446,3487,Race relations officer,1960-01-13 00:00:00,40.712979,-74.838309,0,3,1
30260,2019-07-25 19:24:50,2288813824604479,"fraud_Brown, Homenick and Lesch",health_fitness,5.22,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.376844,-74.120652,0,19,1
30423,2019-07-26 21:06:28,3598215285024754,fraud_Langworth LLC,personal_care,31.5,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.236712,-74.063634,0,21,1
30853,2019-07-28 19:02:08,3598215285024754,"fraud_Lowe, Dietrich and Erdman",kids_pets,105.87,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,41.249604,-73.58714599999999,0,19,1
31014,2019-07-29 10:56:11,3561963695236764,fraud_Kling Inc,gas_transport,68.93,M,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03 00:00:00,41.28957,-72.28144,0,10,1
31289,2019-07-30 21:10:47,5104807169438134,fraud_Pagac LLC,shopping_pos,27.09,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,41.039851,-72.06711800000001,0,21,1
31535,2019-08-01 18:20:26,5104807169438134,fraud_Daugherty-Thompson,food_dining,35.89,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,40.994335,-71.729136,0,18,1
31665,2019-08-02 16:09:22,30042378430132,"fraud_Labadie, Treutel and Bode",shopping_net,4.82,M,Northport,NY,11768,40.9051,-73.3309,21902,Tour manager,1976-05-16 00:00:00,41.749444,-72.94421700000001,0,16,1
31812,2019-08-03 11:58:07,4646845581490336108,fraud_Bins-Rice,gas_transport,42.22,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,40.284882,-72.29938100000001,0,11,1
31994,2019-08-04 05:24:35,30407675418785,"fraud_Connelly, Reichert and Fritsch",gas_transport,56.86,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,42.347145000000005,-75.93974200000001,0,5,1
32008,2019-08-04 06:41:18,3561963695236764,"fraud_Nienow, Ankunding and Collier",misc_pos,42.51,M,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03 00:00:00,41.627811,-72.17320600000001,0,6,1
32087,2019-08-04 14:34:15,180040027502291,fraud_Romaguera Ltd,health_fitness,95.08,F,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29 00:00:00,40.555306,-73.600135,0,14,1
32342,2019-08-05 14:56:38,30407675418785,fraud_O'Keefe-Wisoky,food_dining,14.79,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,42.120688,-77.261915,0,14,1
32447,2019-08-06 01:35:30,374821819075109,fraud_Koepp-Witting,grocery_pos,74.1,M,Palmyra,NY,14522,43.0622,-77.2218,9565,Exhibition designer,1927-12-11 00:00:00,43.802334,-77.26678000000001,0,1,1
32457,2019-08-06 04:31:01,2269768987945882,fraud_McDermott-Rice,misc_pos,1.14,F,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29 00:00:00,42.664482,-77.208483,0,4,1
32603,2019-08-07 06:18:07,340951438290556,"fraud_Bernier, Streich and Jewess",grocery_net,67.93,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,41.211729,-74.527947,0,6,1
32952,2019-08-09 13:43:27,3567879740649740,fraud_Monahan-Morar,personal_care,31.07,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.086087,-75.466329,0,13,1
33038,2019-08-10 01:42:24,502012776709,"fraud_Rodriguez, Yost and Jenkins",misc_net,2.72,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.315831,-74.488469,0,1,1
33240,2019-08-10 23:21:22,4254074738931278,"fraud_Prosacco, Kreiger and Kovacek",home,45.98,M,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1956-05-02 00:00:00,41.265084,-77.517673,0,23,1
33253,2019-08-11 00:57:23,3567879740649740,fraud_Block-Parisian,misc_net,125.05,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.539091,-75.661275,0,0,1
33355,2019-08-11 11:02:37,3514897282719543,fraud_Morar Inc,grocery_net,62.19,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,42.052298,-77.351467,0,11,1
33835,2019-08-13 18:45:05,3529597930342630,"fraud_Schumm, McLaughlin and Carter",food_dining,74.58,F,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1985-09-01 00:00:00,43.74296,-75.35275899999999,0,18,1
33894,2019-08-14 07:17:08,4254074738931278,"fraud_Olson, Becker and Koch",gas_transport,38.61,M,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1956-05-02 00:00:00,41.549341,-77.53836700000001,0,7,1
33984,2019-08-14 23:34:00,4904681492230012,"fraud_McCullough, Hudson and Schuster",food_dining,8.8,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,42.712888,-73.884467,0,23,1
34390,2019-08-17 16:37:07,4736845434667908128,"fraud_Romaguera, Wehner and Tromp",kids_pets,29.48,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,44.406769,-74.25065500000001,0,16,1
34502,2019-08-18 01:57:15,4736845434667908128,fraud_Lebsack and Sons,misc_net,3.98,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,45.283424,-74.34732,0,1,1
34551,2019-08-18 07:22:22,340951438290556,"fraud_Huel, Hammes and Witting",grocery_pos,166.57,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,40.890167,-74.532537,0,7,1
34604,2019-08-18 13:24:40,3533012926413100,fraud_Jakubowski Inc,home,44.38,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01 00:00:00,42.725943,-75.752544,0,13,1
34650,2019-08-18 17:39:24,4169388510116,fraud_Jacobi Inc,health_fitness,90.62,F,Port Gibson,NY,14537,43.033,-77.1575,207,Database administrator,1962-09-27 00:00:00,42.221947,-76.896986,0,17,1
34655,2019-08-18 17:59:17,346208242862904,fraud_Cartwright PLC,kids_pets,77.05,F,New York City,NY,10280,40.7105,-74.0163,1577385,"Pharmacist, hospital",1961-05-13 00:00:00,40.903483,-73.524158,0,17,1
34727,2019-08-18 23:13:16,4736845434667908128,"fraud_Pouros, Walker and Spencer",kids_pets,4.91,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,45.813609,-73.203002,0,23,1
34802,2019-08-19 08:16:53,4740713119940984,fraud_Jakubowski Group,food_dining,80.14,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,40.565039,-73.601061,0,8,1
34992,2019-08-20 09:22:20,639023984367,fraud_McDermott-Weimann,grocery_pos,115.11,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,44.718127,-74.792511,0,9,1
35085,2019-08-21 02:39:13,3567879740649740,"fraud_Kutch, Hermiston and Farrell",gas_transport,65.78,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,43.830061,-75.859935,0,2,1
35099,2019-08-21 05:30:17,3567879740649740,fraud_Kuhn LLC,shopping_pos,8.71,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,43.817049,-76.130718,0,5,1
35233,2019-08-22 05:12:22,213113028819344,fraud_Runte-Mohr,food_dining,57.28,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,42.908287,-74.858362,0,5,1
35330,2019-08-22 20:31:40,30011465039817,"fraud_Bernhard, Grant and Langworth",shopping_pos,114.63,F,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14 00:00:00,43.338947,-74.258522,0,20,1
35333,2019-08-22 21:22:09,38797410705641,fraud_Bahringer-Streich,food_dining,66.94,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12 00:00:00,41.679607,-74.21696899999999,0,21,1
35369,2019-08-23 03:43:18,3559160581764413,fraud_Koepp-Parker,grocery_pos,98.02,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,42.886694,-78.237476,0,3,1
35614,2019-08-24 14:58:34,180017442990269,fraud_Eichmann-Kilback,home,52.49,F,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01 00:00:00,43.562453000000005,-72.999946,0,14,1
36062,2019-08-26 10:21:41,372382441451095,fraud_Kutch LLC,gas_transport,72.23,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21 00:00:00,41.245376,-73.090162,0,10,1
36110,2019-08-26 15:00:36,4342532437704183,fraud_Bednar PLC,kids_pets,22.06,M,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16 00:00:00,42.83296,-75.41122,0,15,1
36855,2019-08-31 12:34:25,372382441451095,"fraud_Konopelski, Schneider and Hartmann",food_dining,28.55,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21 00:00:00,41.57537,-74.59980999999999,0,12,1
36885,2019-08-31 15:40:25,4736845434667908128,fraud_Botsford and Sons,home,78.08,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,45.696704,-74.313841,0,15,1
36933,2019-08-31 20:10:21,6592861994408652,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,4.08,F,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,1983-06-12 00:00:00,43.339694,-77.974913,0,20,1
36945,2019-08-31 21:12:22,2288813824604479,fraud_Schumm PLC,health_fitness,9.65,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.898819,-73.81895300000001,0,21,1
37021,2019-09-01 04:27:38,213161293389774,fraud_Kuhn LLC,shopping_pos,118.07,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,42.099124,-77.56173100000001,0,4,1
37938,2019-09-07 06:02:38,4646845581490336108,fraud_Hills-Olson,grocery_net,84.73,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,40.189968,-73.570971,0,6,1
38175,2019-09-08 17:10:44,30235268718158,fraud_Dare-Marvin,entertainment,206.04,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,41.997165,-72.825058,0,17,1
38244,2019-09-08 22:29:00,2288813824604479,fraud_Bernier and Sons,kids_pets,42.41,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.166723,-73.104541,0,22,1
38516,2019-09-10 12:16:57,2296006538441789,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,3.88,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,40.804453,-74.56975,0,12,1
38637,2019-09-11 16:08:55,502012776709,fraud_Jacobi Inc,health_fitness,1.91,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,41.967672,-75.984776,0,16,1
38938,2019-09-14 05:36:45,6523180720198790,fraud_Mraz-Herzog,gas_transport,66.02,M,Oakdale,NY,11769,40.7382,-73.1297,9506,"Biochemist, clinical",1953-04-13 00:00:00,40.878482,-73.287554,0,5,1
39175,2019-09-15 11:10:05,502012776709,fraud_Luettgen PLC,gas_transport,89.85,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.29531,-75.037797,0,11,1
39413,2019-09-16 14:46:13,3567697931646329,fraud_Berge-Ullrich,home,41.22,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,42.901811,-73.075685,0,14,1
39631,2019-09-18 12:17:17,3529597930342630,fraud_O'Connell-Ullrich,home,343.5,F,Jordanville,NY,13361,42.8948,-74.8209,824,Travel agency manager,1985-09-01 00:00:00,42.221957,-75.420967,0,12,1
39919,2019-09-20 23:33:22,375237305371366,fraud_Watsica LLC,personal_care,25.88,M,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,1928-06-26 00:00:00,43.364477,-76.965627,0,23,1
40143,2019-09-22 07:11:03,4736845434667908128,fraud_Lebsack and Sons,misc_net,9.01,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,44.944485,-72.677808,0,7,1
40317,2019-09-23 02:19:42,502012776709,fraud_Mraz-Herzog,gas_transport,42.53,F,Garrattsville,NY,13342,42.6315,-75.1866,165,Naval architect,1945-09-20 00:00:00,42.628873,-74.978516,0,2,1
40359,2019-09-23 08:18:08,213161293389774,fraud_Donnelly LLC,entertainment,3.27,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,42.909555,-77.260386,0,8,1
40596,2019-09-24 20:12:17,30235268718158,fraud_Botsford PLC,home,22.24,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,40.538411,-74.24785899999999,0,20,1
40861,2019-09-27 08:37:53,2269768987945882,fraud_Bins-Rice,gas_transport,82.45,F,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29 00:00:00,41.697919,-78.793912,0,8,1
40982,2019-09-28 07:52:57,3523898249167098,fraud_Gutmann Ltd,grocery_net,33.3,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,39.93965,-73.676687,0,7,1
41212,2019-09-29 13:13:14,213125815021702,fraud_Bode-Rempel,kids_pets,83.63,M,Big Indian,NY,12410,42.074,-74.453,397,Psychiatrist,1931-09-12 00:00:00,41.380565,-73.90247099999999,0,13,1
41345,2019-09-30 02:50:40,3523898249167098,fraud_Kuhic Inc,grocery_pos,85.53,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,40.334306,-73.146378,0,2,1
41411,2019-09-30 12:42:09,5104807169438134,fraud_Feil-Morar,health_fitness,45.21,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,39.970051,-73.361855,0,12,1
41448,2019-09-30 16:08:04,4904681492230012,"fraud_Heathcote, Yost and Kertzmann",shopping_net,9.3,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,42.506873,-74.78582,0,16,1
41964,2019-10-04 18:28:42,4646845581490336108,fraud_Gottlieb Group,kids_pets,20.78,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,41.709587,-72.111476,0,18,1
42068,2019-10-05 12:00:48,36721445180895,fraud_Bednar Inc,travel,7.45,M,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01 00:00:00,42.304253,-75.422895,0,12,1
42351,2019-10-06 19:54:22,3567879740649740,fraud_Bednar PLC,kids_pets,10.48,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.330397,-76.413638,0,19,1
42384,2019-10-07 00:34:58,6592861994408652,"fraud_Rutherford, Homenick and Bergstrom",grocery_net,72.71,F,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,1983-06-12 00:00:00,42.489249,-79.328653,0,0,1
42482,2019-10-07 14:41:11,3567697931646329,"fraud_Fadel, Mertz and Rippin",entertainment,5.85,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,41.758831,-72.756825,0,14,1
42809,2019-10-10 11:31:48,4740713119940984,fraud_Bechtelar-Rippin,food_dining,21.29,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,41.980524,-74.942764,0,11,1
42822,2019-10-10 13:12:57,3567879740649740,fraud_Rau-Grant,kids_pets,24.5,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,43.178852,-75.658734,0,13,1
43387,2019-10-14 01:01:23,4988304376504,fraud_Kiehn Inc,grocery_pos,121.67,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17 00:00:00,42.004256,-73.217946,0,1,1
44082,2019-10-19 10:32:56,3559160581764413,"fraud_Ferry, Lynch and Kautzer",misc_net,71.86,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,41.289515,-79.510928,0,10,1
44193,2019-10-19 22:38:04,675909898057,"fraud_Jones, Sawayn and Romaguera",misc_net,799.67,M,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,1964-03-16 00:00:00,41.031303,-72.71208399999999,1,22,1
44504,2019-10-21 16:41:38,36360452125889,fraud_Renner Ltd,home,22.91,M,West Chazy,NY,12992,44.797,-73.5112,4778,Engineering geologist,1954-06-14 00:00:00,45.485849,-73.658016,0,16,1
44634,2019-10-22 17:21:29,639023984367,fraud_Pollich LLC,home,10.76,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,44.521252,-75.828959,0,17,1
44641,2019-10-22 17:56:10,30235268718158,"fraud_Moore, Williamson and Emmerich",home,137.58,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,41.918586,-74.140002,0,17,1
